assessment_id,program_id,cohort_id,cso_id,assessment_round,previous_assessment_id,assessment_date,assessment_type,assessment_status,offline_analysis_completed_by,validation_date,validated_by,number_of_participants,participant_roles_summary,assessment_method_summary,evidence_sources_overall,overall_strengths_summary,overall_areas_for_growth_summary,overall_priority_summary,overall_safeguarding_note,overall_comments,ready_for_dashboard
ASM_CSO_011_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_011,Baseline,,2026-03-11,Baseline,Validated,DEC Capacity Analysis Team,2026-03-19,DEC Civic-Space Reviewer,8,Youth Program Coordinator; Peace Facilitators; Field Officers; MEAL Officer; Finance Assistant,"Conflict-sensitive assessment, youth dialogue reflection, documentation review, and risk-screening discussion.",Dialogue session notes; activity reports; youth group feedback; project workplans; risk notes.,Strong youth peacebuilding relationships and committed facilitators.,"Conflict-sensitive monitoring, safe documentation, and adaptive decision records are weak.","Prioritize risk registers, safe facilitation documentation, and learning-to-action routines.","Avoid naming conflict actors, locations, or sensitive youth participants in platform evidence.",Validated with moderate-to-high sensitivity safeguards.,TRUE
ASM_CSO_012_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_012,Baseline,,2026-03-11,Baseline,Validated,DEC Capacity Analysis Team,2026-03-19,DEC Accessibility Reviewer,7,Education Officer; School Liaison; Inclusion Focal Person; Project Officer; Board Representative,"Education and inclusion assessment, school-partner discussion, and safeguarding-light document review.",School activity reports; inclusion checklists; referral notes; training attendance sheets; workplans.,Good school relationships and commitment to inclusive education.,"Safeguarding documentation, inclusion adjustment planning, and basic MEAL systems need improvement.","Prioritize inclusion adjustment checklists, safeguarding scenarios, and simple monitoring tools.","Do not upload children’s names, school case details, or identifiable disability data.",Validated as an emerging education-focused CSO.,TRUE
ASM_CSO_013_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_013,Baseline,,2026-03-12,Baseline,Validated,DEC Capacity Analysis Team,2026-03-20,DEC Capacity Lead,7,Chairperson; Community Mobilizer; Finance Volunteer; Project Facilitator; Local Committee Representatives,"Grassroots capacity workshop, governance conversation, and simplified document review.",Community meeting notes; environmental action records; volunteer lists; small budget files; photos summary log.,Strong community legitimacy and local environmental commitment.,"Formal governance, financial documentation, and funding readiness are very limited.","Prioritize governance basics, financial documentation, and resource mobilization readiness.",Avoid uploading community photos or location-sensitive environmental dispute details.,"Validated with recommendation for simplified, low-literacy learning support.",TRUE
ASM_CSO_014_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_014,Baseline,,2026-03-12,Baseline,Validated,DEC Capacity Analysis Team,2026-03-20,DEC Humanitarian Advisor,11,Consortium Coordinator; Health Officer; MEAL Officer; Partner Representatives; Finance Officer; Safeguarding Focal Person,"Consortium-level assessment, partner mapping, referral process review, and humanitarian coordination reflection.",Partner MoUs; referral pathway notes; coordination minutes; humanitarian activity reports; donor reporting files.,Strong local coordination role and active partner engagement.,"Partner role clarity, referral documentation, and shared monitoring practice need strengthening.","Prioritize partnership matrices, referral partnership maps, and joint reporting synthesis.","High caution on referral data, displaced/community vulnerability data, and partner-sensitive issues.",Validated as a network-oriented CSO with strong partnership learning needs.,TRUE
ASM_CSO_015_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_015,Baseline,,2026-03-13,Baseline,Validated,DEC Capacity Analysis Team,2026-03-21,DEC M&E Lead,9,Health Program Manager; Faith Leader Representative; MEAL Officer; Finance/Admin Officer; Field Health Workers,"Health-rights organizational assessment, service documentation review, and accountability discussion.",Health outreach reports; referral summaries; donor reports; community feedback summaries; finance files.,Strong health service experience and community trust.,"MEAL data use, accountability reporting, and financial documentation need improvement.","Prioritize feedback-use decision logs, outcome evidence, and financial documentation readiness.",Avoid health-related personal data and sensitive referral details.,Validated with health-data protection note.,TRUE
ASM_CSO_016_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_016,Baseline,,2026-03-13,Baseline,Validated,DEC Capacity Analysis Team,2026-03-21,DEC Learning Design Lead,8,Training Coordinator; Community Educators; Volunteer Lead; Program Officer; Board Member,"Training-practice review, volunteer system discussion, and course-readiness reflection.",Training outlines; attendance sheets; volunteer records; community education reports; facilitator notes.,Strong commitment to community learning and volunteer-based outreach.,"Training design, volunteer management, and evidence capture require strengthening.","Prioritize trainer/mentor practice, volunteer role clarity, and learning review notes.",Do not upload personal volunteer or learner data.,Validated as suitable for practical peer-learning support.,TRUE
ASM_CSO_017_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_017,Baseline,,2026-03-14,Baseline,Validated,DEC Capacity Analysis Team,2026-03-22,DEC Capacity Lead,9,Program Manager; Advocacy Officer; MEAL Officer; Community Facilitators; Finance/Admin Officer,"Civic engagement and governance assessment, stakeholder mapping review, and document scan.",Stakeholder lists; advocacy notes; community meeting records; project reports; governance documents.,Active civic engagement work and good local stakeholder access.,"Evidence-based advocacy, stakeholder mapping, and governance records need improvement.","Prioritize stakeholder mapping, evidence-to-message practice, and decision documentation.",Avoid naming sensitive public actors or community representatives in shared outputs.,Validated as a strong candidate for advocacy and governance courses.,TRUE
ASM_CSO_018_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_018,Baseline,,2026-03-14,Baseline,Validated,DEC Capacity Analysis Team,2026-03-22,DEC Safeguarding Reviewer,10,Executive Director; Gender Officer; Referral Focal Person; Advocacy Officer; MEAL Officer; Field Staff,"Women’s rights assessment, referral process review, advocacy safety discussion, and document scan.",Referral pathway notes; gender program reports; advocacy drafts; anonymized service summaries; safeguarding policy.,Strong women’s justice focus and referral experience.,"Safe documentation, policy message risk review, and outcome evidence need strengthening.","Prioritize safe advocacy language, referral pathway decisions, and evidence statements.","Very high sensitivity; no survivor data, case files, or identifiable referral records.",Validated with strong restrictions on practical proof evidence type.,TRUE
ASM_CSO_019_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_019,Baseline,,2026-03-15,Baseline,Validated,DEC Capacity Analysis Team,2026-03-23,DEC Finance Reviewer,7,Youth Coordinator; Livelihoods Officer; Finance Assistant; Volunteer Facilitators; Board Representative,"Youth livelihoods and finance capacity assessment, grant-readiness conversation, and document review.",Small-grant records; budget notes; youth group reports; volunteer rosters; training records.,Energetic youth leadership and practical livelihoods outreach.,"Budgeting, grant opportunity screening, and monitoring tools are weak.","Prioritize basic budgeting, donor-fit screening, and spreadsheet trackers.",Use fictional youth livelihood examples and avoid personal participant data.,"Validated as emerging and needing simple, practical tools.",TRUE
ASM_CSO_020_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_020,Baseline,,2026-03-15,Baseline,Validated,DEC Capacity Analysis Team,2026-03-23,DEC Accessibility Reviewer,8,Inclusion Coordinator; Health Officer; Program Officer; Finance/Admin Officer; Disability Representatives,"Disability inclusion assessment, accessibility scan, service documentation review, and digital practice discussion.",Inclusion checklists; service records; training materials; project reports; data storage examples.,Strong disability inclusion commitment and practical community service experience.,"Organizational sustainability, accessible data systems, and outcome documentation need support.","Prioritize inclusion adjustment, responsible data handling, and sustainability planning.","Avoid identifiable disability, health, and service-user information.",Validated with accessibility and data safety conditions.,TRUE
ASM_CSO_021_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_021,Baseline,,2026-03-16,Baseline,Validated,DEC Capacity Analysis Team,2026-03-24,DEC Civic-Space Reviewer,8,Community Dialogue Facilitator; Peace Committee Members; Field Officers; MEAL Assistant; Board Representative,"Peacebuilding capacity assessment, dialogue practice reflection, risk discussion, and documentation review.",Dialogue facilitation notes; community feedback summaries; conflict-sensitivity notes; project records.,Trusted grassroots dialogue facilitation and community relationships.,"Safe documentation, risk management, and evidence-use routines are limited.","Prioritize risk registers, safe reporting, and peer-learning action notes.","Do not record names of conflict actors, affected individuals, or sensitive dialogue details.",Validated with high sensitivity for proof and dashboard summaries.,TRUE
ASM_CSO_022_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_022,Baseline,,2026-03-16,Baseline,Validated,DEC Capacity Analysis Team,2026-03-24,DEC Capacity Lead,10,Network Coordinator; Member CSO Representatives; Livelihoods Officer; MEAL Officer; Finance/Admin Officer,"Network assessment, climate-livelihoods partner mapping, coordination record review, and validation discussion.",Network meeting minutes; member reports; MoUs; climate activity summaries; joint workplans.,Active member network and relevant climate-livelihoods focus.,"Partnership agreements, shared workplans, and joint reporting need improvement.","Prioritize partnership role clarification, shared workplans, and joint reporting synthesis.",Avoid ranking member CSOs or exposing partner weaknesses.,Validated as a partnership and collective action priority case.,TRUE
ASM_CSO_023_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_023,Baseline,,2026-03-17,Baseline,Validated,DEC Capacity Analysis Team,2026-03-25,DEC M&E Lead,9,Health Outreach Manager; Field Health Workers; MEAL Officer; Finance/Admin Officer; Community Volunteers,"Health outreach assessment, feedback handling review, data-flow discussion, and document scan.",Outreach records; feedback summaries; health education reports; monitoring tools; finance records.,Strong field presence and community health outreach capacity.,"Feedback handling, outcome monitoring, and digital data safety need improvement.","Prioritize feedback categorization, outcome evidence, and responsible data handling.","Avoid personal health data, participant lists, and sensitive referral details.",Validated with health-data safety note.,TRUE
ASM_CSO_024_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_024,Baseline,,2026-03-17,Baseline,Validated,DEC Capacity Analysis Team,2026-03-25,DEC Finance Reviewer,8,Field Coordinator; Women Group Leaders; Finance Assistant; Livelihoods Facilitators; Board Member,"Pastoralist women’s association assessment, low-bandwidth reporting review, finance discussion, and group validation.",Women group records; livelihoods reports; savings group summaries; budget notes; field facilitator notes.,Strong community ownership and women’s group mobilization.,"Low-bandwidth digital reporting, financial documentation, and donor-readiness need support.","Prioritize low-bandwidth workflows, budget justification, and donor-fit screening.",Avoid household-level vulnerability data and women’s personal financial details.,Validated with recommendation for mobile-friendly and low-bandwidth learning.,TRUE
ASM_CSO_025_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_025,Baseline,,2026-03-18,Baseline,Validated,DEC Capacity Analysis Team,2026-03-26,DEC Capacity Lead,7,Project Officer; Employment Facilitator; Inclusion Focal Person; Finance/Admin Officer; Youth Representatives,"Skills and employment capacity assessment, partnership review, inclusion discussion, and evidence mapping.",Training reports; employer contact notes; participant follow-up summaries; inclusion checklists; budget files.,Strong practical skills-development orientation and inclusion interest.,"Partnership documentation, employment outcome evidence, and financial planning are weak.","Prioritize partnership role matrices, outcome evidence statements, and activity-based budgeting.",Avoid identifiable youth employment and disability information.,Validated as an emerging CSO with practical course needs.,TRUE
ASM_CSO_026_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_026,Baseline,,2026-03-18,Baseline,Validated,DEC Capacity Analysis Team,2026-03-26,DEC M&E Lead,11,Program Director; Women and Youth Officers; MEAL Officer; Finance/Admin Officer; Board Member; Field Staff,"Women and youth empowerment assessment, sustainability reflection, learning review, and document scan.",Program reports; training records; MEAL summaries; board notes; community feedback summaries.,Strong women and youth programming and relatively mature management.,"Learning review routines, sustainability planning, and adaptive decision documentation need strengthening.","Prioritize learning reviews, sustainability action plans, and adaptive decision records.",Protect women and youth participants’ identities and feedback.,Validated as established CSO needing deeper systems strengthening.,TRUE
ASM_CSO_027_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_027,Baseline,,2026-03-19,Baseline,Validated,DEC Capacity Analysis Team,2026-03-27,DEC M&E Lead,8,Accountability Officer; MEAL Assistant; Field Facilitators; Program Officer; Community Representatives,"Accountability and feedback system assessment, complaint pathway review, and validation workshop.",Feedback forms; complaint process notes; community meeting summaries; monitoring files; project reports.,Has functioning feedback channels and staff commitment to accountability.,"Escalation, closure tracking, and safe complaint classification remain weak.","Prioritize complaint classification, feedback closure tracking, and accountability reporting.",High caution on raw complaints; use simulated or anonymized examples only.,Validated as strong practical case for accountability learning.,TRUE
ASM_CSO_028_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_028,Baseline,,2026-03-19,Baseline,Validated,DEC Capacity Analysis Team,2026-03-27,DEC Safeguarding Reviewer,7,Child Protection Officer; School Liaison; Project Officer; Community Facilitators; Board Representative,"Child wellbeing assessment, safeguarding practice review, referral pathway discussion, and school-linkage validation.",School activity records; referral notes; child wellbeing reports; safeguarding checklist; training attendance.,Strong school-community links and child wellbeing focus.,"Safeguarding referral documentation, safe reporting, and inclusion-sensitive monitoring need support.","Prioritize safeguarding scenarios, referral pathway decisions, and safe data collection tool review.","Very high sensitivity; no child names, school case details, or protection files.",Validated with strict child safeguarding restrictions.,TRUE
ASM_CSO_029_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_029,Baseline,,2026-03-20,Baseline,Validated,DEC Capacity Analysis Team,2026-03-28,DEC Finance Reviewer,8,Livelihoods Coordinator; Cooperative Support Officer; Finance Assistant; Field Facilitators; Board Member,"Green livelihoods assessment, cooperative support reflection, finance/document review, and outcome-evidence discussion.",Cooperative support notes; livelihoods reports; budget summaries; participant follow-up sheets; project workplans.,Strong climate-smart livelihoods focus and cooperative outreach.,"Grant readiness, budget justification, and outcome evidence require strengthening.","Prioritize donor-fit screening, budget justification, and outcome evidence statements.",Avoid household income details or identifiable cooperative member data.,Validated as finance and MEAL priority case.,TRUE
ASM_CSO_030_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_030,Baseline,,2026-03-20,Baseline,Validated,DEC Capacity Analysis Team,2026-03-28,DEC Digital Reviewer,10,Digital Learning Coordinator; Youth Trainers; MEAL Officer; Program Officer; Finance/Admin Officer,"Digital learning hub assessment, data responsibility review, training design discussion, and tool scan.",Digital training materials; learner records structure; spreadsheet examples; social media samples; activity reports.,Strong digital interest and local youth trainer base.,"Data protection, accessible content, and CSO-focused course design need strengthening.","Prioritize safe AI use, responsible data handling, and trainer/mentor learning design.","Avoid uploading learner accounts, personal data, or unreviewed AI prompts with sensitive content.",Validated as digital capacity priority and possible peer-learning resource.,TRUE
ASM_CSO_031_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_031,Baseline,,2026-03-21,Baseline,Validated,DEC Capacity Analysis Team,2026-03-29,DEC Civic-Space Reviewer,9,Forum Coordinator; Peace Facilitators; Member Representatives; MEAL Officer; Partnership Officer,"Peacebuilding forum assessment, coalition governance review, shared monitoring discussion, and risk screening.",Forum meeting notes; partner lists; peacebuilding reports; shared workplans; anonymized dialogue summaries.,Strong multi-actor forum identity and coordination potential.,"Coalition governance, safe documentation, and shared monitoring practice require strengthening.","Prioritize coalition governance, shared workplans, and civic-space risk screening.","Do not upload sensitive peace dialogue records, actor names, or location-specific conflict details.",Validated with high sensitivity on advocacy and peacebuilding evidence.,TRUE
ASM_CSO_032_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_032,Baseline,,2026-03-21,Baseline,Validated,DEC Capacity Analysis Team,2026-03-29,DEC M&E Lead,7,Health Rights Officer; Field Facilitator; Finance/Admin Assistant; Board Representative; Community Volunteers,"Community health rights assessment, governance review, MEAL-light document scan, and validation discussion.",Health outreach records; community notes; finance files; volunteer lists; project reports.,Strong community commitment and emerging health-rights focus.,"Governance systems, MEAL basics, and resource mobilization are weak.","Prioritize governance role clarity, indicator basics, and basic budgeting.",Avoid health-related personal data and community vulnerability details.,Validated as emerging CSO requiring foundational capacity support.,TRUE
ASM_CSO_033_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_033,Baseline,,2026-03-22,Baseline,Validated,DEC Capacity Analysis Team,2026-03-30,DEC Capacity Lead,11,Partnership Manager; Network Coordinator; Member CSO Representatives; MEAL Officer; Program Director; Finance Officer,"Local development network assessment, partnership documentation review, evidence synthesis discussion, and validation workshop.",Member reports; partnership MoUs; joint workplans; network meeting minutes; donor-safe reporting samples.,Relatively mature network with good partnership reach and coordination capacity.,"Member accountability, evidence synthesis, and donor-safe reporting need strengthening.","Prioritize partnership accountability, joint reporting, and safe organization evidence summaries.","Avoid member ranking, raw partner performance data, or sensitive organizational weaknesses.",Validated as an advanced network requiring evidence and accountability strengthening.,TRUE
